#/*******************************************************************************
# * Copyright  2016  Department of Biomedical Informatics, University of Utah
# * <p>
# * Licensed under the Apache License, Version 2.0 (the "License");
# * you may not use this file except in compliance with the License.
# * You may obtain a copy of the License at
# * <p>
# * http://www.apache.org/licenses/LICENSE-2.0
# * <p>
# * Unless required by applicable law or agreed to in writing, software
# * distributed under the License is distributed on an "AS IS" BASIS,
# * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# * See the License for the specific language governing permissions and
# * limitations under the License.
# *******************************************************************************/

#this list is optimized for shorter rule length rules for semeval were added
@MaxRepeatLength	100
@Version	1.0.3.4

#stbegin is the marker for sentence begin, the span of sentence will start at the begin of the captured group
#stbegin has two scores 0, 1: 0 for true sentence begin clues, 1 for false sentence begin clues which will overwrite 0-scored rules when they are overlapping.
#stend is the marker for sentence begin, the span of sentence will end at the end of the captured group
#stend also has two scores 2, 3: 2 for true sentence end clues, 3 for false sentence end clues which will overwrite 2-scored rules when they are overlapping

# \b the begin of an input
# \e the end of an input
# \d A digit
# \C A capital letter
# \c A lowercase letter
# \s A character of whitespace or tab or Unicode code point 160
# \w A character of \s above or Unicode code greater than '~'
# \a A Non-whitespace character
# \u A unusual character: Unicode code greater than '~' (excluding Unicode 160)
# \n A return ('\n' or '\r')
# ( Beginning of capturing a group
# ) End of capturing a group
# \p A punctuation
#
# \+ An addition symbol (to distinguish the "+" after a wildcard)
# \( A left parentheses symbol
# \) A right parentheses symbol
#
#  A wildcard followed by a "+": 1 or more characters that match the wildcard

\c.\s+(\C)	0	stbegin
 mL.\s+(\C)	0	stbegin
*)	1	stbegin
\c\c.\s+(\C)	0	stbegin
\c\).\s+(\C)	0	stbegin
\d\).\s+(\C)	0	stbegin
\C\C\C.\s+(\C)\c	0	stbegin
\d.\s+(\C)	0	stbegin
\n\n\s+(\C)	0	stbegin
 Med\n\n\n+(\c+)	0	stbegin
 Med\s+\n\n\n+\s+(\c+)	0	stbegin
 Med\s+\n+\s+\n+\s+(\c+)	0	stbegin
 Normal\s+\n+\s+\n+\s+(\c+)	0	stbegin
\c\c.\n+(\c\c	0	stbegin
\c\c.\n+(\d+	0	stbegin
\d%.\n+(\d+	0	stbegin
\c\c.\n\n\w+(\c+)	0	stbegin
\c\c.\s+\n\n\w+(\c+)	0	stbegin
\c\c.\s+\n\n\w+(\c+)	0	stbegin
\c\c.\n\w+(\c+)	0	stbegin
\c\c.\w+(\c+)	0	stbegin
\c.\n+(\d+)\s	0	stbegin
\c.\s+\n+(\d+)\s	0	stbegin
\c.\n+\s+(\d+)\s	0	stbegin
\c.\s+\n+(\d).\s+\d	0	stbegin
\c.\s+\n+\s+(\d+)\s+	0	stbegin
\c.\n+(\d+).\d+x	0	stbegin
\c.\s+\n+(\d+).\d+x	0	stbegin
\c.\n+\s+(\d+).\d+x	0	stbegin
\c.\s+\n+\s+(\d+).\d+x	0	stbegin
\c.\n+(\d+).\d+*	0	stbegin
\c.\s+\n+(\d+).\d+*	0	stbegin
\c.\n+\s+(\d+).\d+*	0	stbegin
\c.\s+\n+\s+(\d+).\d+*	0	stbegin
\c.\n+(\d+)x	0	stbegin
\c.\s+\n+(\d+)x	0	stbegin
\c.\n+\s+(\d+)x	0	stbegin
\c.\s+\n+\s+(\d+)x	0	stbegin
\c.\n+(\d+)\s+\c	0	stbegin
\c.\s+\n+(\d+)\s+\c	0	stbegin
\c.\n+\s+(\d+)\s+\c	0	stbegin
\c.\s+\n+\s+(\d+)\s+\c	0	stbegin
\c.\n+(\d+)\c	0	stbegin
\c.\s+\n+(\d+)\c	0	stbegin
\c.\n+\s+(\d+)\c	0	stbegin
\c.\s+\n+\s+(\d+)\c	0	stbegin
\n\n\s\w+\d+.(\C)	0	stbegin
\n\n\s\w+\d+.\s+(\C)	0	stbegin
\n\n\s\w+(\d)\s	0	stbegin
\n\n\s\w+(\d+)\s	0	stbegin
\n\n\s\w+(")\C	0	stbegin
\n\n\d+.(\C)	0	stbegin
\n\d/\s+(\C)	0	stbegin
\n\n(\d+.\s+\C	0	stbegin
\n(\d+.\s+\c	0	stbegin
\n\n(\d)\s	0	stbegin
\n\n(\d+)\s	0	stbegin
\n\n(")\C	0	stbegin
\n\n(")\s+\C	0	stbegin
\n\n\s+(")\s+\C	0	stbegin
\n\n(-\C	0	stbegin
\n(-\C	0	stbegin
\c.\s+\n(-\C	0	stbegin
\c:\s+\n(-\C	0	stbegin
\c.\n(-\C	0	stbegin
\c:\n(-\C	0	stbegin
\n\n\s+(-\C	0	stbegin
\n\n\s+(-\s+\C	0	stbegin
\n\n(-\s+\C	0	stbegin


\n\n(-\s+\c)\c	0	stbegin
\n\n\s+-\s+(\c)\c	0	stbegin
\c.\n(-\c)\c	0	stbegin
\c:\n(-\c)\c	0	stbegin
\c.\s+\n(-\c)	0	stbegin
\c:\s+\n(-\c)	0	stbegin
\n(-\c)\c	0	stbegin
\n (•  \c	0	stbegin

\c.\n+(-\d)	0	stbegin
\c.\s+\n+(-\d)	0	stbegin
\c.\s+\n+\s+(-\d)	0	stbegin

\n\n*(\C)	0	stbegin
\n\n\s+(*)\C	0	stbegin
\n\n\s+(*)\s+\C	0	stbegin
\n\n(*)\s+\C	0	stbegin
\n\n\s+(')\C	0	stbegin
\n\n(')\C	0	stbegin
\n\n(')\s+\C	0	stbegin
\n\n\s+(')\s+\C	0	stbegin
\n\n\s+(%)\C	0	stbegin
\n\n(%)\C	0	stbegin
\n\n(%)\s+\C	0	stbegin
\n\n\s+(%)\s+\C	0	stbegin
\n\n*\p+(\C	0	stbegin
\n\n*\p+\s+(\C	0	stbegin
\n**\p+\s+(\C	0	stbegin
\n**\s+(\C	0	stbegin
\n**\p+(\C	0	stbegin
\n**(\C	0	stbegin
\n**(\d	0	stbegin
\n\n\s+*\p+(\C	0	stbegin
\n\n\s+*\p+\s+\C	0	stbegin
\c.\s+**\p+(\C	0	stbegin

\n\n\s+(\u)\s+\d\s	0	stbegin
\n\n\s+(\u)\s+\d+\s	0	stbegin
\n\n\s+(\u)\s+\d+/	0	stbegin
\n\n\s+(\u)\s+\d/	0	stbegin
\n\n\s+(\u)\s+\c	0	stbegin
\n\n\s+(\u)\s+\C	0	stbegin
\n\n(\u)\s+\C	0	stbegin
?\s+(\C)\c	0	stbegin
?\s+(\d	0	stbegin
!\s+(\C)\c	0	stbegin
!\s+(\d	0	stbegin



#start with time
\n\n(\d):\d\s	0	stbegin
\n\n(\d):\d\d\s	0	stbegin
\n\n(\d)\d:\d\d\s	0	stbegin
\n\n(\d)\d:\d\s	0	stbegin
\n\n(\d):\d-	0	stbegin
\n\n(\d):\d\d-	0	stbegin
\n\n(\d)\d:\d\d-	0	stbegin
\n\n(\d)\d:\d-	0	stbegin
\n\n\w+(\d):\d\s	0	stbegin
\n\n\w+(\d):\d\d\s	0	stbegin
\n\n\w+(\d)\d:\d\d\s	0	stbegin
\n\n\w+(\d)\d:\d\s	0	stbegin
\n\n\w+(\d):\d-	0	stbegin
\n\n\w+(\d):\d\d-	0	stbegin
\n\n\w+(\d)\d:\d\d-	0	stbegin
\n\n\w+(\d)\d:\d-	0	stbegin
#start with dates
\n\n(\d+)\s+	0	stbegin
\n\n(\d)\d/\d/\d\d\d\d	0	stbegin
\n\n(\d)/\d/\d\d\d\d	0	stbegin
\n\n(\d)\d/\d\d/\d\d\d\d	0	stbegin
\n\n(\d)/\d\d/\d\d\d\d	0	stbegin
\n\n(\d)\d/\d/\d\d	0	stbegin
\n\n(\d)/\d/\d\d	0	stbegin
\n\n(\d)\d/\d\d/\d\d	0	stbegin
\n\n(\d)/\d\d/\d\d	0	stbegin
\n\n(\d)\d/\d\s	0	stbegin
\n\n(\d)/\d\s	0	stbegin
\n\n(\d)\d/\d\d\s	0	stbegin
\n\n(\d)/\d\d/\d\s	0	stbegin
\n+\s\s\s\s(\C)	0	stbegin
\n+\s\s\s(\C)	0	stbegin
\n+\s\s(\C)	0	stbegin
\n+(\C)	0	stbegin
.\s+(N)ow 	0	stbegin
.\s+(D)ischarge 	0	stbegin

\n(\(-\)\s+\C	0	stbegin
#\n(\(+\)\s+\C	0	stbegin
\n        (\d	0	stbegin
\C:\n+(\d	0	stbegin
\n(\d+).\s+\C	0	stbegin
\n(\d+.\C	0	stbegin
\n\s+(\d.\s+\C	0	stbegin
\n\s+(\d\d.\s+\C	0	stbegin
\n\d.\)\s+(\C	0	stbegin
\n\d\d.\)\s+(\C	0	stbegin
\c:\n+(\a	0	stbegin
\s+\s+(\d\)\s+\C	0	stbegin
\s+\s+(\d\d\)\s+\C	0	stbegin
\n)                                    \d\d\)	2	stend

\c:\n+(\d. 	0	stbegin
\d:\n+(\d	0	stbegin

\C:\s+\n+(\d	0	stbegin
\C:\s+\n+(1. 	0	stbegin
\c:\s+\n+(\d	0	stbegin
\d:\s+\n+(\d	0	stbegin
\).\s+(\C	0	stbegin
\n(- \c	0	stbegin
\n(- \C	0	stbegin
\n(# \c	0	stbegin
\n(# \C	0	stbegin
\n(#\C	0	stbegin
\n(#\c	0	stbegin
\n(* \c	0	stbegin
\n(* \C	0	stbegin
\n(? \C	0	stbegin
\n(? \c	0	stbegin
\n(. \C	0	stbegin
\n(+ \C	0	stbegin
\n(/ \C	0	stbegin
\n+\d\d-\d\d\s+(\C	0	stbegin
\n+\d+-\d\d-\d\d\s+(\C	0	stbegin
\n+\d+-\d\d-\d\d\s+:\s+(\C	0	stbegin
\c.\s+\n(\d.\C	0	stbegin
\n(\d\)\s+\C	0	stbegin
\n(\d\d\)\s+\C	0	stbegin
\n(\d\)\s+\c	0	stbegin
\n(\d\)\s+?\c	0	stbegin
\n(\d\d\)\s+\c	0	stbegin
\n(\d\)\C	0	stbegin
\s\s(\d\)\C	0	stbegin
\s\s(\d\)?\s+\C	0	stbegin

\c)\w+\d\)\s+\d+\s+(\c	0	stbegin

\c\w+(\d\)\C	0	stbegin
\d\)\C+\w+(\d\)\c	0	stbegin

\c)\w+\d\)	2	stend
\c)\w+\d\d\)	2	stend
\(\a+\w+\a+\)	3	stend
\c\c)\w+\d\d\),	3	stend
